code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,471 (5A),ZGGG,PANC,,B-2010,38000,,8:30,17:50,9:20,,619,C,1,1
CSN,471 (6A),ZGGG,PANC,,B-2010,38000,,16:05,0:55,8:50,,619,C,5,1
CSN,472 (1),KLAX,ZGGG,,B-2010,37000,,12:20,0:40,12:20,,867,C,4,1
CSN,472 (2),KLAX,ZGGG,,B-2010,37000,,18:30,8:45,14:15,,867,C,1,1
CSN,472 (3),KLAX,ZGGG,,B-2010,37000,,19:25,9:35,14:10,,867,C,5,1
CSN,472 (4),KLAX,ZGGG,,B-2010,37000,,0:30,15:00,14:30,,867,C,2,1
CSN,472 (5),KLAX,ZGGG,,B-2010,37000,,10:00,0:59,14:59,,867,C,6,1
CSN,473 (1A),PANC,KLAX,,B-2026,37000,,9:50,14:40,4:50,,315,C,40,1
CSN,473 (1B),ZGGG,PANC,,B-2026,38000,,21:55,8:25,10:30,,619,C,3,1
CSN,473 (2A),ZGGG,PANC,,B-2026,38000,,16:05,2:35,10:30,,619,C,1,1
CSN,473 (2B),PANC,KLAX,,B-2026,37000,,3:40,8:30,4:50,,315,C,2,1
CSN,473 (3A),ZGGG,PANC,,B-2026,38000,,21:55,8:20,10:25,,619,C,6,1
CSN,473 (3B),PANC,KLAX,,B-2026,37000,,6:00,11:05,5:05,,315,C,5,1
CSN,473 (4A),ZGGG,PANC,,B-2026,38000,,17:00,2:22,9:22,,619,C,2,1
CSN,473 (4B),PANC,KLAX,,B-2026,37000,,3:30,8:35,5:05,,315,C,3,1
CSN,473 (5A),PANC,KLAX,,B-2026,37000,,10:20,15:25,5:05,,315,C,1,1
CSN,473 (5B),ZGGG,PANC,,B-2026,38000,,12:30,21:31,9:01,,619,C,4,1
CSN,473 (6A),ZGGG,PANC,,B-2026,38000,,23:50,8:35,8:45,,619,C,0,1
